3
Input Files/1.txt
Input Files/10.txt
Input Files/2.txt
0 5000
building 1 1 
buildings 1 1 
builds 1 1 
bulbs 1 1 
bullock 1 1 
bum 1 1 
bummer 1 1 
bump 1 1 
bumped 1 1 
bums 1 1 
bundy 1 1 
bung 1 1 
bunkers 1 1 
burberry 1 1 
burgundy 1 1 
burning 1 1 
burns 1 1 
burritos 1 1 
burst 1 1 
busboy 1 1 
business 1 1 
businessmen 1 1 
busted 1 1 
busy 1 1 
but 1 1 
butner 1 1 
buts 1 1 
butter 1 1 
butterfield 1 1 
buttermilk 1 1 
button 1 1 
buttoned 1 1 
buttons 1 1 
buy 1 1 
buying 1 1 
buzz 1 1 
buzzing 1 1 
by 1 1 
byte 1 1 
cab 1 1 
cabernet 1 1 
cabinet 1 1 
cable 1 1 
cables 1 1 
cackles 1 1 
caf 1 1 
caffeine 1 1 
cajun 1 1 
cake 1 1 
calculator 1 1 
calf 1 1 
cali 1 1 
california 1 1 
californian 1 1 
call 1 1 
called 1 1 
calls 1 1 
calm 1 1 
calmer 1 1 
calming 1 1 
calmly 1 1 
calories 1 1 
camden 1 1 
came 1 1 
camera 1 1 
camols 1 1 
can 1 1 
canal 1 1 
canali 1 1 
canaps 1 1 
cancel 1 1 
canceled 1 1 
canceling 1 1 
cancellation 1 1 
cancellations 1 1 
candlelight 1 1 
candy 1 1 
cannot 1 1 
canon 1 1 
cans 1 1 
cant 1 1 
cap 1 1 
car 1 1 
card 1 1 
cardboard 1 1 
cardigan 1 1 
cardin 1 1 
cardiovascular 1 1 
cards 1 1 
care 1 1 
career 1 1 
careful 1 1 
carefully 1 1 
cares 1 1 
caressing 1 1 
caring 1 1 
carlisle 1 1 
carlyle 1 1 
caroline 1 1 
carries 1 1 
carruthers 1 1 
carry 1 1 
carrying 1 1 
cart 1 1 
carter 1 1 
carton 1 1 
carve 1 1 
case 1 1 
cash 1 1 
cashmere 1 1 
cassette 1 1 
cassis 1 1 
cast 1 1 
casual 1 1 
casually 1 1 
caswell 1 1 
cat 1 1 
catalog 1 1 
catch 1 1 
catches 1 1 
catching 1 1 
caught 1 1 
causes 1 1 
causing 1 1 
cd 1 1 
cecelia 1 1 
ceiling 1 1 
ceilings 1 1 
celebratory 1 1 
cellular 1 1 
center 1 1 
centers 1 1 
central 1 1 
ceremony 1 1 
cerruti 1 1 
certain 1 1 
certainly 1 1 
ceviche 1 1 
chain 1 1 
chair 1 1 
chairs 1 1 
chalk 1 1 
chalky 1 1 
challenges 1 1 
chambers 1 1 
chamois 1 1 
champagne 1 1 
chance 1 1 
chandelier 1 1 
chanel 1 1 
change 1 1 
changes 1 1 
changing 1 1 
chaotically 1 1 
character 1 1 
chardonnay 1 1 
charivari 1 1 
charles 1 1 
charlie 1 1 
charmed 1 1 
cheap 1 1 
check 1 1 
checked 1 1 
checkerboard 1 1 
checkered 1 1 
checking 1 1 
checkout 1 1 
checks 1 1 
cheek 1 1 
cheerily 1 1 
cheese 1 1 
cheesecake 1 1 
chef 1 1 
cherish 1 1 
chernoble 1 1 
cheryl 1 1 
chest 1 1 
chewing 1 1 
chews 1 1 
chick 1 1 
chicken 1 1 
chicks 1 1 
child 1 1 
children 1 1 
chills 1 1 
chimes 1 1 
chin 1 1 
chinese 1 1 
chirp 1 1 
choate 1 1 
chocolate 1 1 
choice 1 1 
chokes 1 1 
choking 1 1 
choose 1 1 
choosing 1 1 
chopped 1 1 
chose 1 1 
chow 1 1 
chows 1 1 
chris 1 1 
christ 1 1 
christian 1 1 
christine 1 1 
christmas 1 1 
christopher 1 1 
chrysler 1 1 
chunky 1 1 
church 1 1 
churning 1 1 
chvre 1 1 
cigar 1 1 
cigarette 1 1 
cigarettes 1 1 
cilantro 1 1 
ciorgio 1 1 
circle 1 1 
circled 1 1 
circling 1 1 
cirque 1 1 
citibank 1 1 
citrus 1 1 
city 1 1 
claiborne 1 1 
clank 1 1 
clap 1 1 
clapping 1 1 
claridge 1 1 
clasp 1 1 
clasped 1 1 
class 1 1 
classes 1 1 
classic 1 1 
clean 1 1 
cleaned 1 1 
cleaner 1 1 
cleaners 1 1 
cleaning 1 1 
cleanser 1 1 
clear 1 1 
cleared 1 1 
clearer 1 1 
clearing 1 1 
clearly 1 1 
clears 1 1 
clenched 1 1 
clenching 1 1 
client 1 1 
clients 1 1 
climax 1 1 
clinique 1 1 
clipping 1 1 
clit 1 1 
close 1 1 
closed 1 1 
closely 1 1 
closes 1 1 
closet 1 1 
cloth 1 1 
clothes 1 1 
clothing 1 1 
cloud 1 1 
clouded 1 1 
clouds 1 1 
club 1 1 
clumsily 1 1 
coach 1 1 
coat 1 1 
coatcheck 1 1 
coatrack 1 1 
cocaine 1 1 
cock 1 1 
cocktail 1 1 
coffee 1 1 
coherent 1 1 
coke 1 1 
cold 1 1 
cole 1 1 
collar 1 1 
