1
Input Files/2.txt
0 5000
corneal 1 0 
corner 1 0 
cornered 1 0 
corners 1 0 
corporate 1 0 
corporations 1 0 
correct 1 0 
correctly 1 0 
corridor 1 0 
cosmos 1 0 
cost 1 0 
costing 1 0 
costs 1 0 
couch 1 0 
could 1 0 
couldn 1 0 
counsel 1 0 
counselor 1 0 
count 1 0 
counter 1 0 
countless 1 0 
countries 1 0 
country 1 0 
counts 1 0 
couple 1 0 
courage 1 0 
courageous 1 0 
courier 1 0 
course 1 0 
courses 1 0 
cousin 1 0 
cousins 1 0 
cover 1 0 
coveralls 1 0 
covered 1 0 
coworkers 1 0 
crack 1 0 
cracked 1 0 
crafts 1 0 
craig 1 0 
craigslist 1 0 
crankily 1 0 
crash 1 0 
crashed 1 0 
crashes 1 0 
crawl 1 0 
crawled 1 0 
crazier 1 0 
crazy 1 0 
creamed 1 0 
create 1 0 
created 1 0 
creates 1 0 
creating 1 0 
creations 1 0 
creative 1 0 
creativity 1 0 
creator 1 0 
creature 1 0 
credentials 1 0 
crevice 1 0 
crew 1 0 
cried 1 0 
cries 1 0 
crime 1 0 
crimson 1 0 
cripple 1 0 
crisis 1 0 
crispy 1 0 
criteria 1 0 
critical 1 0 
criticisms 1 0 
critics 1 0 
crocodile 1 0 
crowd 1 0 
crowds 1 0 
cruel 1 0 
cruelty 1 0 
cruise 1 0 
cruncher 1 0 
crutches 1 0 
cry 1 0 
crying 1 0 
cultural 1 0 
culture 1 0 
cup 1 0 
cure 1 0 
curious 1 0 
current 1 0 
cursed 1 0 
curses 1 0 
customer 1 0 
customers 1 0 
customs 1 0 
cut 1 0 
cute 1 0 
cycle 1 0 
d 1 0 
dad 1 0 
dallas 1 0 
damage 1 0 
damaged 1 0 
dance 1 0 
danger 1 0 
dangerous 1 0 
danilka 1 0 
dare 1 0 
dared 1 0 
daring 1 0 
dark 1 0 
dashing 1 0 
dating 1 0 
daugherty 1 0 
daughter 1 0 
daunting 1 0 
dauntingly 1 0 
david 1 0 
davison 1 0 
day 1 0 
days 1 0 
dazzling 1 0 
dead 1 0 
deadly 1 0 
deal 1 0 
dealing 1 0 
deals 1 0 
death 1 0 
debilitating 1 0 
debt 1 0 
decay 1 0 
decent 1 0 
decide 1 0 
decided 1 0 
decision 1 0 
decisions 1 0 
decline 1 0 
dedicate 1 0 
dedicated 1 0 
deeds 1 0 
deep 1 0 
deeply 1 0 
defeat 1 0 
defeated 1 0 
defeats 1 0 
defend 1 0 
define 1 0 
defined 1 0 
definitely 1 0 
deformity 1 0 
degenerate 1 0 
degenerates 1 0 
degree 1 0 
degrees 1 0 
delayed 1 0 
delays 1 0 
delivery 1 0 
demand 1 0 
demanded 1 0 
demanding 1 0 
demands 1 0 
demonstrate 1 0 
demonstrates 1 0 
denominations 1 0 
dentist 1 0 
department 1 0 
departure 1 0 
depend 1 0 
dependency 1 0 
dependent 1 0 
depending 1 0 
depends 1 0 
depressed 1 0 
depression 1 0 
depressions 1 0 
deprived 1 0 
depth 1 0 
derived 1 0 
dermatologist 1 0 
describe 1 0 
described 1 0 
describes 1 0 
desert 1 0 
deserved 1 0 
design 1 0 
designated 1 0 
designed 1 0 
desire 1 0 
desires 1 0 
desk 1 0 
desks 1 0 
despair 1 0 
despairing 1 0 
desperate 1 0 
despite 1 0 
destination 1 0 
destroy 1 0 
destruction 1 0 
detail 1 0 
details 1 0 
detector 1 0 
determination 1 0 
determine 1 0 
determined 1 0 
detours 1 0 
detractors 1 0 
dev 1 0 
devadasi 1 0 
devaraj 1 0 
devastating 1 0 
develop 1 0 
developed 1 0 
developing 1 0 
device 1 0 
devices 1 0 
devise 1 0 
devised 1 0 
diagnosed 1 0 
dial 1 0 
dialects 1 0 
dialed 1 0 
dialogue 1 0 
dice 1 0 
dicey 1 0 
dictate 1 0 
did 1 0 
didn 1 0 
die 1 0 
died 1 0 
diego 1 0 
dies 1 0 
difference 1 0 
differences 1 0 
different 1 0 
difficult 1 0 
difficulty 1 0 
dig 1 0 
digital 1 0 
dignity 1 0 
dining 1 0 
dinner 1 0 
dinneris 1 0 
director 1 0 
directors 1 0 
dirt 1 0 
dirty 1 0 
disabilities 1 0 
disability 1 0 
disabled 1 0 
