6
Input Files/1.txt
Input Files/10.txt
Input Files/2.txt
Input Files/3.txt
Input Files/4.txt
Input Files/5.txt
0 5000
chalkboard 1 3 
chalky 1 3 
challenge 1 3 
chances 1 3 
change 1 3 
changes 1 3 
channeling 1 3 
charcoal 1 3 
charge 1 3 
charging 1 3 
charity 1 3 
chart 1 3 
charts 1 3 
chased 1 3 
cheap 1 3 
cheaper 1 3 
cheapest 1 3 
check 1 3 
cheek 1 3 
cheekbones 1 3 
cheeks 1 3 
cheered 1 3 
cheerful 1 3 
cheering 1 3 
cheese 1 3 
cheetah 1 3 
cheetahs 1 3 
cheez 1 3 
chefs 1 3 
chemical 1 3 
chemicals 1 3 
cherries 1 3 
chest 1 3 
chewed 1 3 
chewing 1 3 
chicken 1 3 
chickenshit 1 3 
child 1 3 
childhood 1 3 
children 1 3 
childs 1 3 
chilly 1 3 
chimed 1 3 
chimney 1 3 
chimpanzee 1 3 
chin 1 3 
china 1 3 
chins 1 3 
chipmunks 1 3 
chips 1 3 
chocolate 1 3 
chocolates 1 3 
choice 1 3 
choir 1 3 
choking 1 3 
choose 1 3 
choosers 1 3 
chopping 1 3 
chops 1 3 
chose 1 3 
chosen 1 3 
christ 1 3 
christened 1 3 
christmas 1 3 
chrome 1 3 
chuckling 1 3 
chunks 1 3 
church 1 3 
churchs 1 3 
cigarette 1 3 
cigarettes 1 3 
cinder 1 3 
cindy 1 3 
circle 1 3 
circling 1 3 
circular 1 3 
circulate 1 3 
city 1 3 
civic 1 3 
civilians 1 3 
claimed 1 3 
clambered 1 3 
clan 1 3 
clanged 1 3 
clapboard 1 3 
clarence 1 3 
clasped 1 3 
clasping 1 3 
class 1 3 
classes 1 3 
classroom 1 3 
classrooms 1 3 
clattered 1 3 
clattering 1 3 
claw 1 3 
clean 1 3 
cleaned 1 3 
cleaner 1 3 
clear 1 3 
cleared 1 3 
clearing 1 3 
clearly 1 3 
clenched 1 3 
clerk 1 3 
click 1 3 
cliffs 1 3 
climb 1 3 
climbed 1 3 
climbing 1 3 
cling 1 3 
clinging 1 3 
clock 1 3 
clocks 1 3 
close 1 3 
closed 1 3 
closer 1 3 
closet 1 3 
closetswhich 1 3 
closing 1 3 
cloth 1 3 
clothes 1 3 
clothesline 1 3 
clothespins 1 3 
clouds 1 3 
club 1 3 
clump 1 3 
clunk 1 3 
clunker 1 3 
clunking 1 3 
clutched 1 3 
clutching 1 3 
coal 1 3 
coals 1 3 
coalshe 1 3 
coasted 1 3 
coat 1 3 
coated 1 3 
coats 1 3 
coca 1 3 
cockroaches 1 3 
code 1 3 
coexist 1 3 
coffee 1 3 
coiled 1 3 
coincidence 1 3 
coincidental 1 3 
cojones 1 3 
colas 1 3 
cold 1 3 
collapse 1 3 
collapsed 1 3 
collapsing 1 3 
collected 1 3 
collecting 1 3 
collection 1 3 
color 1 3 
colored 1 3 
colors 1 3 
comb 1 3 
combat 1 3 
combination 1 3 
combined 1 3 
combing 1 3 
come 1 3 
comeback 1 3 
comedy 1 3 
comforts 1 3 
comic 1 3 
coming 1 3 
commandments 1 3 
commissary 1 3 
committed 1 3 
common 1 3 
commotion 1 3 
communicants 1 3 
communicate 1 3 
company 1 3 
comparable 1 3 
compassion 1 3 
compete 1 3 
competition 1 3 
compile 1 3 
complain 1 3 
complaining 1 3 
